date,title,body
2004-11-25,お知らせ,今週のお問い合わせ対応は11/25(木)の17:00までとなります。それ以降のお問い合わせは11/29(月)の返信となります。申し訳ございません。宜しくお願いします。
2004-11-25,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは2.0.0となっております。今回は、アプリのバージョンを揃える為に強制バージョンアップとなりますのでご了承ください。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・[MENU]にRSSリーダー機能追加（使い方詳細は[MENU]→[HELP]→「各機能詳細」参照）
・「カーソル設定」→「二度押し設定」で反応間隔が設定可能に
・縮小ビューにスクロールバーを追加
・縮小ビュー・文章ビューのスクロールバーをタッチパネル対応に
・Yahoo!掲示板に書き込みができなかった不具合を修正
・infoseekメールのメール本文を閲覧できなかった不具合を修正
・文字コード判別を強化
・無料デモ初回3ページを10ページに変更

【RSSとは？】
Webサイトの新着情報などの配信方法を規格化したもの。RSSリーダーによって情報のタイトルなど要約文を一覧する事ができ、そこから詳しく見たい情報に瞬時にアクセスすることが可能。この機能の追加により、jigブラウザで迅速に情報収集を行えるようになりました。"
2004-12-02,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは2.0.3となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・[MENU]に配色設定機能追加（使い方詳細は[MENU]→[HELP]→「各機能詳細」参照）
　jigブラウザのメニューやボタンの色を設定できます。既に用意された配色の中から選択するか、「カスタム」でお好みの色を指定できます。
・パケット表示が０になる不具合を修正"
2004-12-03,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは2.0.4となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・リソース不足により通信できなくなる不具合を改善
・多量のRSSデータによりページ展開処理に時間がかかる不具合を改善
・一部画面で配色設定が反映されない不具合を修正"
2004-12-07,お知らせ,サーバでハードウェア的な障害が発生していたため、お客様番号末尾に「1027」がついているアプリが12/7の08:50から10:05までお使いいただけませんでした。ご迷惑をお掛けして申し訳ございませんでした。再発防止の為の対応を早急に行いたいと思います。
2004-12-08,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは2.0.5となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・HELPにお客様番号表示を追加
　アプリのバージョンもここから確認できます。
・操作メニューに項目を大幅に追加
　操作メニューが2ページになりました。右下「切替」ボタンでページを切り替えられます。
　（詳細は[MENU]→[HELP]→「各機能詳細」参照）
・操作メニューにリンク情報を追加
　リンクにフォーカスをあわせた状態で利用可能。リンク先ページの情報を表示。
・URL入力での不具合を修正
・メニュー表示高速化
・N/P900iでのリソース不足の問題を一部改善"
2004-12-08,お知らせ,"現在、起動時やホームを表示する際に通信エラーが起きる現象が一部確認されております。その場合は下記の点をご確認ください。
・アプリの設定が「通信する」になっているか
・ホームで設定しているサイトに問題がないか（jigブラウザで表示ができないサイトなど）
以上の点に問題がない場合の通信エラーについては現在調査中です。至急解決したいと思います。ご迷惑をお掛けして申し訳ございません。
なお、RSS更新の為に起動に時間がかかる場合もございますので、その場合はお待ちください。"
2004-12-10,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは2.0.7となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・ページを戻ったときにカーソルが消える不具合を修正"
2004-12-10,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは2.0.6となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・カーソル設定にスクロール設定を追加
　画面スクロールの方法が変更可能になりました。
・ショートカットに「スクロール」を追加
・RSSの不具合を修正（auのみ）
・操作メニューの「Google一発検索」「終了」を数字キーで選択した時の不具合を修正(auのみ)
・メモリ不足の不具合を改善(DoCoMoのみ)

サーバ側の修正を行いました（アプリのバージョンアップ不要）
・通信失敗を軽減
・一部Cookieが正常に受け取れなかった問題を修正
・一部文字化けを修正"
2004-12-16,お知らせ,本日(12/16)の23:00から放映される「ワールドビジネスサテライト(テレビ東京系列)」のコーナー「トレンドたまご」にてjigが紹介されます。是非ご覧ください。
2004-12-16,お知らせ,"jigブラウザの最新版を公開しました。最新バージョンは2.0.8となっております。DoCoMoはバージョンアップを、auは再ダウンロードをお願いします。

・通信エラー時に、リトライダイアログを表示するように変更
・画像保存で縦横に若干隙間が出来ていた不具合を修正
・一部画像で画像表示・保存・待受設定ができなかった不具合を修正
・P/N900iでのリソース不足を改善"
2004-12-16,お知らせ,12/29～1/4はお問い合わせの対応が停止します｡12/28の17:00以降のお問い合わせへの返信は1/5となりますのでご了承ください｡
